Code,Year,Total Assets,Net Assets,Shareholders' Equity,Retained Earnings,Short-Term Loans,Long-Term Loans,BPS,Equity Ratio,Sales,Operating Profit,Ordinary Profit,Net Profit,EPS,ROE,ROA
6430,2022/03,41489905000,31141712000,31014540000,29662225000,2000000000,-,2106.59,75.1,24390050000,1191202000,1367552000,1228963000,83.13,3.95,2.96
6432,2022/02,137201000000,104083000000,101723000000,96444000000,-,-,2182.67,75.9,140892000000,17764000000,18080000000,13348000000,279.91,12.82,9.73
6433,2022/03,4896982000,3238414000,3220991000,1824343000,10000000,301787000,517.09,66.1,2742273000,228832000,258858000,217712000,35.25,6.72,4.45
6436,2022/03,159342000000,116271000000,117230000000,86244000000,367000000,-,1563.31,72.5,118429000000,12893000000,13919000000,9733000000,131.48,8.43,6.11
6439,2022/03,8877675000,3702753000,3654372000,1075335000,100000000,2827771000,1630.92,41.7,5243453000,-200314000,-12802000,193849000,84.94,5.24,2.18
6440,2022/12,145169000000,37482000000,35306000000,15816000000,58807000000,18851000000,1250.78,25.3,117454000000,2858000000,1163000000,-78000000,-2.66,-,-
6444,2022/12,157428000000,23366000000,18525000000,-16765000000,48381000000,355000000,201.74,14.3,175683000000,-5729000000,-4140000000,-1613000000,-14.47,-,-
6445,2022/03,54572000000,33428000000,24495000000,13447000000,5862000000,-,1679.91,59.5,42916000000,3659000000,3824000000,2549000000,131.86,7.85,4.67
6448,2022/03,811149000000,561211000000,561146000000,554910000000,20121000000,20705000000,2170.46,69.2,710938000000,85501000000,-,61030000000,234.89,10.88,7.52
6454,2022/03,109043000000,83136000000,81401000000,58929000000,2000000000,-,1755.38,76.1,73958000000,7498000000,8282000000,6090000000,128.38,7.33,5.58
6455,2022/03,125167000000,81906000000,77851000000,71099000000,954000000,54000000,1835.47,64.7,83602000000,8115000000,8761000000,5350000000,118.09,6.61,4.27
6457,2022/03,363269000000,208607000000,182554000000,166566000000,16743000000,11187000000,3378.49,56.5,226562000000,10195000000,10404000000,6410000000,106.01,3.12,1.76
6458,2022/03,72046000000,53982000000,48577000000,38961000000,640000000,2462000000,671.7,71.6,41964000000,5712000000,6048000000,4097000000,53.04,7.94,5.69
6459,2022/12,86071401000,60196738000,60120046000,42782360000,-,-,1219.43,69.9,43942856000,6985420000,6866889000,4446148000,87.9,7.39,5.17
6460,2022/03,435492000000,292637000000,294440000000,224684000000,10000000000,32000000000,1311.73,67.1,320949000000,32042000000,33344000000,37027000000,158.85,12.66,8.5
6461,2022/03,67349000000,35099000000,30105000000,15021000000,4556000000,6825000000,4299.72,49.3,50783000000,2627000000,3058000000,1928000000,250.28,5.8,2.86
6462,2022/03,115707000000,87082000000,77324000000,64526000000,-,10000000000,8109.88,70.1,78372000000,5122000000,6529000000,4329000000,433.4,5.34,3.74
6463,2022/03,255403000000,159752000000,109761000000,103452000000,23804000000,12292000000,3734.26,50.4,163537000000,10701000000,14633000000,8087000000,234.49,6.28,3.17
6464,2022/12,159891000000,50131000000,50096000000,17651000000,52609000000,35378000000,1260.98,31.3,79036000000,-9065000000,-,-9089000000,-225.35,-,-
6465,2022/12,423898000000,292500000000,274795000000,252140000000,-,-,1994.66,68.2,321338000000,27915000000,37226000000,23977000000,165.52,8.3,5.66
