Code,EPS,ROE,PER,PBR,Market Capitalization Log,NikkeiCorr,MothersCorr,RSI,MovingAverage50,MovingAverage200,ATR,MACD,Signal,UpperBand,LowerBand,PercentR,ADX,ChangeRate_0,ChangeRate_3,ChangeRate_7,ChangeRate_14,ChangeRate_21,ChangeRate_28,ChangeRate_35,ChangeRate_42,ChangeRate_49
9279,77.24,28.32,25.390905970475142,7.193872706182598,24.364587139808556,0.18193943902078744,0.29530289080670324,63.21838655516349,1706.2933666992203,1388.4835738570607,47.968326378848055,61.70107444708924,53.95099912872989,1959.2168705037548,1656.0398433634255,1.7699116031744,39.47477060845725,1953.7928466797:-0.37878787878545045,1901.9875488281:-2.6515245943109367,1855.1162109375:-5.050516788916098,1995.7303466797:2.1464660427674875,2158.5463867188:10.479797814136782,2087.005859375:6.818174860333011,2119.0759277344:8.459601095151113,2084.5388183594:6.691905536551193,2032.7340087891:4.0404059336973015
3475,99.58,24.92,7.0781505923779875,1.7659465236614635,23.73145382129466,0.2926720207813434,0.2676075502093142,81.95486774059836,676.446330566406,598.25766398112,18.09590209739212,8.656888653386886,1.5218736718649997,726.8259284317231,621.2882927596569,4.807693421406006,37.08491295718221,698.375793457:-0.9259259259245964,706.6897583008:1.1904715085620914,692.8331298828:-0.7936505855627514,822.1620483398:17.724877643603737,790.7535400391:13.22751267262929,705.7659912109:1.058197867557536,715.9276123047:2.5132341372855316,736.2506713867:5.423280457963355,745.4884643555:6.746034347108399
7501,-3.9,-0.21576379288908076,0.0,0.41707714340928553,21.34838226090383,0.03034299538976056,0.07357449866816755,49.41177948809695,727.688945312504,717.3210137261333,13.561790122200522,6.015067211500536,6.441283716003429,762.4235446024143,729.0560635518857,51.28200857929742,18.271162698837433,892.828125:15.451577801953768,748.125:-16.207276736493938,728.4375:-18.412348401323044,720.5625:-19.294377067254686,706.78125:-20.83792723263506,742.21875:-16.868798235942666,888.890625:-0.4410143329658214,792.421875:-11.245865490628445,735.328125:-17.640573318632853
8255,76.75,9.55,10.969396493899675,1.047753264852339,25.055526056127125,0.5425386639531242,0.3824306714650321,78.63246552755342,800.979392089844,779.2213862666378,16.04453928795341,9.129506098539991,3.0130240342447556,849.8128648636387,761.1119642379513,11.538512451507842,31.86178743733676,824.0390625:-2.1676300578044563,803.7953491211:-2.456644872815116,796.6504516602:-3.323702975524899,803.7953491211:-2.456644872815116,816.8941650391:-0.8670581027097831,784.7423095703:-4.768797344446278,787.1240234375:-4.479768101102611,824.0390625:0.0,818.0849609375:-0.7225508878712894
8101,132.91,6.68,10.45877090254759,0.6950515213592272,23.457514599393274,0.3596266193856572,0.39433866573616055,58.823557572632694,1332.5523364257822,1304.0083116319438,29.792543707358778,11.3187607934492,2.080550370184196,1390.2065650223867,1272.9966454268233,2.7522921770713933,10.630082353152341,1371.6147460938:-1.345895020185031,1344.8470458984:-1.951546545531925,1342.0778808594:-2.1534374224626545,1346.6931152344:-1.8169555941545488,1331.0017089844:-2.960965331195311,1354.0772705078:-1.2786006884181385,1371.6147460938:0.0,1400.228515625:2.0861374968947133,1453.7639160156:5.989230587943975
9504,-110.21,-6.839569419777819,0.0,0.42354454029247696,26.22809176942048,0.15796410394804916,-0.07822708922222896,82.90590980667031,689.851107177736,778.1943843135148,15.966724368995694,9.843579330048328,1.8091478378283337,729.6781819658681,641.2156107587521,2.3529424441709246,58.16185014424773,717.9724731445:0.8053691275064038,663.0403442383:-7.651007658498946,626.4189453125:-12.751676597157482,623.5277709961:-13.154362553032298,622.5640258789:-13.288594038673956,643.7659912109:-10.335560861908576,640.8748168945:-10.738246817783393,664.0040893555:-7.516776172857289,660.1491699219:-8.053693614373762
9507,-30.44,-2.048058400081111,0.0,0.48182192180600025,25.71586273337865,0.2798683120626353,-0.011799414746292506,76.99112751911464,687.045104980474,733.3431925455711,16.1265288107156,9.89205939935448,4.161619117425545,732.0545490933562,647.0617900179839,12.162172056204822,45.419330856928326,744.3276367188:1.5463917525809248,703.0827026367:-5.5412337319515625,682.9397583008:-8.247426991776711,705.0010375977:-5.283506507223407,711.7153320312:-4.381444820638934,694.4500732422:-6.701022643264191,679.1030883789:-8.76288144121958,695.4092407227:-6.572159030900113,700.205078125:-5.927840969106607
3963,12.78,11.83,40.27581228625978,4.770388146602409,23.34013584593277,0.36009628053598247,0.4039637756586802,62.76151053188419,486.59847717284595,413.792806780777,22.08431278726531,13.548056289476676,7.23700551928879,566.0350326751566,426.02524869690353,31.97673016084939,21.62347911134858,491.9143371582:-4.637096774201986,468.1120300293:-4.838709777480049,459.1861572266:-6.653227494988538,446.2932434082:-9.274194774145855,425.466217041:-13.508067380404537,455.2191162109:-7.459677056637365,447.2850036621:-9.072582383738732,439.3508911133:-10.685487710840098,483.9802246094:-1.6129053271013671
2831,213.64,5.76,13.48611866117862,0.7762098120274796,23.899118141236983,-0.00144272994401736,-0.09942014330060193,56.41032555310169,2952.126074218764,2948.076206235537,23.795376608087327,-4.456697716705548,-6.195401423016371,2975.0770829646553,2910.1238935978945,11.364498086384954,21.11877259006725,2896.7746582031:0.5385392123865369,2894.8244628906:-0.06732298996670065,2894.8244628906:-0.06732298996670065,2891.8996582031:-0.16829061888521263,2907.4997558594:0.3702427327555024,2897.7495117188:0.03365306697017107,2916.2751464844:0.6731793315741164,2925.0500488281:0.9760990743594645,2903.5998535156:0.2356136088519133
3536,8.51,11.85,14.94809976827262,1.7709637898928023,22.075989931197995,0.19050018021275572,0.14494010650962372,58.33335213831226,129.180554199218,124.36837192111705,4.775026019425363,0.33475242828680507,-0.07028569743657011,132.41480908735304,121.31157717361695,49.99998300343956,35.35233164787977,125.2361068726:-1.5748031495471901,124.25:-0.7873982170358821,124.25:-0.7873982170358821,129.180557251:3.1496111440230337,125.2361068726:0.0,129.180557251:3.1496111440230337,126.2222213745:0.7874043089690927,123.263885498:-1.574802526084837,125.2361068726:0.0
