コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2023/03,146301000000,46966000000,43736000000,37317000000,23783000000,29816000000,4436.19,32.5,272167000000,8105000000,8182000000,5782000000,539.05,12.16,3.95
130A,2023/12,1655531000,1575639000,1575639000,33048000,-,-,286.41,95.2,360356000,37623000,35898000,33048000,6.01,2.1,2
1332,2023/03,549013000000,220635000000,189457000000,137621000000,100621000000,104913000000,696.72,39.5,768181000000,24488000000,27776000000,21233000000,68.22,9.79,3.87
1333,2023/03,637227000000,212522000000,163639000000,107313000000,174228000000,121910000000,3534.35,28,1020456000000,29575000000,33500000000,18596000000,363.67,10.43,2.92
135A,2023/02,341115000,89211000,89211000,79311000,-,68691000,9.01,26.2,617397000,64319000,63399000,49930000,5.04,55.97,14.64
1375,2023/03,33304000000,10409000000,10409000000,16341000000,-,16070000000,260.99,31.3,42204000000,2191000000,-,1181000000,29.62,11.35,3.55
1376,2023/05,46707875000,23513832000,22500481000,19721047000,-,-,2053.62,50.3,62179177000,1785397000,1913319000,1426338000,123.63,6.07,3.05
1377,2023/05,160715000000,138080000000,127373000000,108467000000,929000000,536000000,3104.38,85.7,77263000000,10918000000,12304000000,9489000000,213.96,6.89,5.9
1379,2023/03,104897000000,50955000000,50020000000,41943000000,7088000000,14072000000,1609.43,48.6,72980000000,-2948000000,-1854000000,-2037000000,-64.43,-,-
137A,2023/05,372505000,267160000,267160000,68916000,-,-,1929.93,71.7,797145000,140323000,140710000,97175000,701.98,36.37,26.09
1380,2023/03,6073371000,2138092000,2080103000,818392000,1326749000,1145099000,512.11,35.2,7070463000,19838000,242195000,156042000,37.43,7.31,2.57
1381,2023/06,22636000000,19750000000,19533000000,18654000000,-,-,3516.92,87.2,24101000000,1911000000,1977000000,1410000000,251.08,7.14,6.23
1382,2023/06,1108040000,787717000,787717000,256069000,-,8012000,1034.18,71.1,2489362000,135111000,138790000,110353000,144.87,14.01,9.96
1383,2023/10,5672245000,2082324000,2036531000,739022000,600000000,1127571000,1273.11,35.9,7061165000,76614000,106604000,78032000,50.86,3.84,1.38
1384,2023/03,16849000000,10746000000,10636000000,8827000000,-,1730000000,1270.38,63.8,17823000000,1318000000,1383000000,745000000,88.07,6.93,4.42
138A,2023/11,1764590000,363887000,363887000,343887000,-,825082000,541.5,20.6,2225111000,262417000,255065000,201040000,299.17,55.25,11.39
1400,2023/12,3184986000,2637992000,2268339000,-789479000,2600000,83314000,193.32,79,2659008000,-8765000,38731000,107199000,8.24,4.26,3.37
1401,2023/05,4131940000,3224860000,3191369000,2502497000,-,-,428.15,78,4004117000,432502000,468392000,322674000,42.62,10.01,7.81
