コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1443,2024/03,17228542000,11064790000,10108762000,7515762000,-,3208025000,681.55,64.2,5169733000,529227000,640070000,444221000,27.36,4.01,2.58
1444,2024/07,2767380000,1501120000,1507334000,908365000,600000000,130618000,1379.9,54.2,4678961000,56392000,63465000,25154000,23.12,1.68,0.91
1446,2024/09,6134261000,2799618000,2792252000,710503000,500000000,370000000,303.42,45.6,13224257000,359202000,350393000,137956000,14.96,4.93,2.25
1447,2024/03,18051775000,3120698000,3019849000,-1881601000,6922409000,2305286000,118.42,16,29270215000,713762000,767760000,183138000,7.59,6.33,1.01
1449,2024/12,735000000,261000000,261326000,175478000,80000000,197924000,122.69,35.6,1113000000,-64000000,-61000000,-7000000,-3.29,-,-
1450,2024/03,9119386000,6990170000,6908649000,6363024000,-,-,803.57,76.7,10676415000,1608193000,1640213000,1090232000,125.33,15.6,11.96
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6,10062575000,574626000,532281000,355661000,89.17,5.56,2.37
145A,2024/12,2708000000,1709000000,1709021000,-924382000,60000000,435074000,333.48,63.1,1594000000,47000000,18000000,13000000,2.66,0.76,0.48
146A,2024/12,52186000000,12101000000,12100000000,9045000000,2255000000,30515000000,3485.63,23.1,20981000000,3892000000,3519000000,2238000000,691.9,18.5,4.29
147A,2024/03,10917376000,8404441000,8039420000,502341000,-,-,190.76,75.5,7928778000,727336000,638408000,485565000,12.59,5.89,4.45
148A,2024/12,2430000000,777000000,776623000,130952000,200000000,181850000,406.41,32,2367000000,183000000,155000000,130000000,72.17,16.73,5.35
1491,2024/03,12135201000,7107645000,7107645000,940237000,1226000000,730438000,24.66,58.6,113758594000,363777000,251518000,218628000,0.76,3.08,1.8
149A,2024/12,1228000000,978000000,978011000,-103613000,90000000,-,309.07,79.6,1232000000,78000000,48000000,16000000,5.24,1.64,1.3
150A,2024/03,2539631000,1834631000,1834631000,-432110000,-,64288000,334.63,72.2,3482000000,208409000,194798000,145449000,31.29,7.93,5.73
1514,2024/03,31137000000,26989000000,26342000000,24346000000,43000000,-,524.68,86.7,22599000000,8009000000,8106000000,7530000000,144.98,27.9,24.18
1515,2024/03,229577000000,150722000000,116008000000,109759000000,17076000000,2514000000,8460.82,61.3,166884000000,11177000000,12056000000,6602000000,396.84,4.69,2.88
1518,2024/03,99740000000,64023000000,60324000000,52653000000,3177000000,4377000000,5322.43,63.6,77472000000,25170000000,26004000000,15117000000,1209.17,23.83,15.16
151A,2024/06,4314946000,1895989000,1895315000,1274159000,30000000,193476000,228.49,43.9,12363389000,542316000,546588000,320998000,42.86,16.94,7.44
153A,2024/12,2024000000,1315000000,1315537000,672955000,-,100000000,206.39,65,1225000000,412000000,388000000,276000000,44.55,20.98,13.64
155A,2024/12,2815000000,1752000000,1751828000,936662000,150000000,47140000,169.45,62.2,5847000000,413000000,396000000,273000000,27.72,15.58,9.7
156A,2024/08,3260029000,2025357000,2024173000,1679024000,-,152098000,207.87,62.1,5281000000,810000000,763000000,709632000,73.1,35.06,21.77
157A,2024/06,1850191000,1472223000,1472043000,902693000,-,50794000,461.46,79.6,1957473000,231029000,231039000,156190000,59.33,10.61,8.44
1605,2024/12,7380863000000,5137833000000,4821805000000,3073530000000,193847000000,870064000000,4026.22,65.3,2265837000000,1271789000000,-,427344000000,345.31,8.86,5.79
160A,2024/03,15952381000,2380026000,2380026000,2174426000,485068000,3486410000,785.49,14.9,17150524000,805502000,865872000,563567000,186,23.68,3.53
1662,2024/03,660928000000,537574000000,404040000000,397846000000,-,-,1906.49,76.2,325863000000,55247000000,68808000000,53661000000,198.88,10.65,8.12
1663,2024/12,119447000000,99406000000,93891000000,73100000000,346000000,567000000,3611.38,80.6,92421000000,8820000000,9830000000,6167000000,231.37,6.4,5.16
166A,2024/09,59415611000,21929167000,21306504000,4375005000,5801500000,20882677000,413.42,35.9,47455431000,4065284000,3560423000,2217276000,53.39,10.41,3.73
168A,2024/01,2526843000,421087000,421087000,218087000,-,1251664000,401.04,16.7,3112305000,192856000,221504000,153192000,145.9,36.38,6.06
1711,2024/03,3790177000,782876000,666529000,-3669982000,1377400000,1095974000,67.86,17.6,4135838000,25661000,-51085000,-105390000,-11.82,-,-
1712,2024/02,27351000000,17674000000,16215000000,11873000000,1500000000,3143000000,976.81,59.9,24150000000,2792000000,2818000000,1781000000,106.02,10.86,6.51
1716,2024/06,21858626000,18285321000,18170577000,17468245000,-,191807000,1607.04,83.1,20918336000,2455559000,2829176000,1973240000,174.38,10.86,9.03
1717,2024/03,7323942000,5084944000,5065984000,4471485000,-,-,436.77,69.2,5266180000,1068764000,1070359000,790755000,68.29,15.61,10.8
1718,2024/12,32571000000,17887000000,15578146000,14218945000,2130000000,3482609000,14401.14,48.3,27292000000,1134000000,1155000000,658231000,602.24,4.18,2.02
1719,2024/03,334145000000,154470000000,141664000000,128575000000,16348000000,7249000000,980.49,46,394128000000,18591000000,18545000000,13878000000,88.64,9.04,4.15
1720,2024/03,264525000000,100789000000,92672000000,73553000000,33207000000,21521000000,947.38,37.8,285681000000,8155000000,9736000000,7266000000,68.98,7.27,2.75
1721,2024/03,514647000000,368055000000,354364000000,300918000000,3984000000,70000000,3031.92,70.3,571186000000,39221000000,40396000000,27453000000,228.47,7.58,5.33
1723,2024/03,46021000000,34460000000,33162000000,32969000000,-,-,2164.68,74.9,38894000000,6248000000,6324000000,4672000000,292.87,13.56,10.15
1724,2024/12,11352000000,6146000000,5966000000,4342000000,2000000000,336000000,1320.25,54.1,11711000000,653000000,741000000,547000000,117.64,8.9,4.82
1726,2024/03,42351000000,14448000000,14188000000,8719000000,11500000000,3366000000,321.32,33.9,40259000000,2062000000,2036000000,1353000000,29.8,9.42,3.19
1730,2024/03,2980227000,986536000,972710000,584683000,-,697634000,288.99,33.1,3139575000,-182847000,-174985000,-386169000,-113.12,-,-
1734,2023/03,7415354000,-2638814000,-2695122000,-4192781000,5100000000,-,-4184.24,-35.6,13301801000,-2059254000,-2064358000,-2880902000,-4568.11,-,-
1736,2024/03,31797724000,20255716000,18610015000,17970923000,1424564000,84018000,3870.02,62.2,29374185000,2026742000,2173899000,1386590000,271.24,7.01,4.36
1738,2024/03,7598170000,4297111000,4251923000,3921922000,510000000,595010000,1060.2,56.6,10121318000,429211000,459368000,247329000,61.02,5.76,3.26
1739,2023/06,29055255000,8534674000,8534674000,7813552000,6375510000,7996898000,1402.27,29.4,35745038000,1989264000,1786179000,1103989000,181.39,12.94,3.8
173A,2024/03,5570964000,2160731000,2064434000,1951604000,-,-,519.9,38.8,4282705000,670106000,778897000,648478000,156.03,30.01,11.64
1743,2024/09,14980725000,8954531000,8752457000,6160588000,-,-,3937.21,59.8,12061118000,530694000,552348000,593036000,260.75,6.62,3.96
1757,2024/03,1265496000,222338000,205688000,-14960930000,203000000,650000000,0.74,16.3,1580420000,-1491561000,-1514255000,-1509864000,-5.68,-,-
1758,2024/01,11640346000,8715153000,8187410000,8020792000,-,111112000,4381.32,74.9,14571648000,225316000,314108000,212225000,107.96,2.44,1.82
175A,2024/12,656000000,410000000,409472000,-484189000,145000000,8840000,280.27,62.3,512000000,-227000000,-223000000,-223000000,-154.01,-,-
1762,2024/03,245149000000,134069000000,133619000000,127822000000,6000000000,-,3849.21,54.7,312680000000,11651000000,11310000000,9165000000,263.22,6.84,3.74
1764,2024/06,15517672000,4825664000,4718385000,3473461000,1630000000,1126897000,3884.23,31.1,20510369000,427033000,397742000,175216000,140.62,3.63,1.13
1766,2024/04,210001000000,121611000000,120712000000,116101000000,-,-,9045.74,57.9,340835000000,13037000000,13410000000,8943000000,665.2,7.35,4.26
1768,2024/03,11617855000,8709619000,8401783000,7321266000,-,-,1192.22,75,16179751000,249295000,317766000,144953000,19.84,1.66,1.25
176A,2024/06,17519465000,8331608000,8301887000,6701192000,-,2241706000,444.82,47.4,38709151000,2793984000,2769468000,1986995000,108.85,23.93,11.34
1770,2024/03,33218092000,17778346000,17110590000,16461166000,855000000,-,1941.07,53.5,32273496000,2182647000,2346984000,1591060000,173.8,8.95,4.79
1771,2024/09,13927535000,9117052000,8871523000,7816088000,115200000,214400000,1839.17,65.5,17545856000,873436000,928479000,688502000,138.89,7.55,4.94
1775,2024/03,81009000000,42172000000,40375000000,31817000000,75000000,-,4614.73,51.2,103649000000,7879000000,8129000000,5413000000,601.93,13.04,6.68
1776,2024/03,27694000000,13653000000,13470000000,10630000000,-,-,1486.55,49.3,30913000000,994000000,1027000000,587000000,64.01,4.3,2.12
1777,2024/03,20326000000,11630000000,11553000000,9585000000,-,-,971.99,57.2,22482000000,1333000000,1354000000,845000000,70.63,7.27,4.16
177A,2024/03,6589322000,3342393000,3281083000,2528621000,1500000000,525000000,802.5,50.7,4770096000,596822000,635601000,384978000,92.43,11.52,5.84
1780,2024/03,31981657000,20477399000,19524294000,15471358000,-,-,1081.9,64,37546595000,4327974000,4150641000,2976166000,157.24,14.53,9.31
1783,2024/09,14215027000,6616182000,6613864000,-4672351000,3349371000,723476000,38.9,46.5,8806039000,701995000,664308000,290559000,1.71,4.39,2.04
1786,2024/03,72923000000,49962000000,48901000000,42538000000,600000000,2538000000,377.11,68.5,67382000000,6533000000,6580000000,4632000000,35.69,9.27,6.35
1787,2024/03,11328156000,8297952000,8097467000,6850290000,-,-,3371.65,73.3,13780361000,1176503000,1204546000,834899000,339.09,10.06,7.37
1788,2024/06,4516883000,3209891000,3071977000,1742899000,-,-,5132.8,70.2,7400143000,199295000,208252000,132314000,214.43,4.17,2.93
1789,2023/09,6673903000,2704794000,2876862000,1125516000,610000000,677512000,424.51,40.5,8074215000,281345000,312959000,76035000,11.94,2.81,1.14
1793,2024/03,99374000000,67260000000,63300000000,55828000000,8100000000,-,4705.23,67.7,83060000000,1686000000,1927000000,1021000000,71.42,1.52,1.03
1795,2024/09,8394129000,4940143000,4925250000,2817191000,-,204110000,5575.54,58.9,8947614000,407517000,421161000,277432000,313.54,5.62,3.31
1798,2024/03,30588887000,14447795000,14115651000,11165664000,800000000,-,6629.86,47.2,43344948000,2223116000,2273985000,1606815000,732.53,11.12,5.25
1799,2024/03,80943341000,69339203000,65286276000,60568863000,-,-,3562.66,85.7,53993410000,3772246000,4096026000,2791939000,143.21,4.03,3.45
1801,2024/03,2583641000000,961000000000,710947000000,558721000000,110530000000,142787000000,5039.98,36,1765023000000,26480000000,38910000000,40272000000,215.74,4.33,1.56
1802,2024/03,3019118000000,1195244000000,870884000000,773841000000,68142000000,131507000000,1606.18,38.1,2325162000000,79381000000,91515000000,75059000000,104.69,6.52,2.49
1803,2024/03,2538769000000,948059000000,677206000000,586761000000,242147000000,131890000000,1243.88,35,2005518000000,-24685000000,-19834000000,17163000000,23.57,1.93,0.68
1805,2024/03,150869000000,48803000000,47135000000,35948000000,18359000000,16487000000,2549.05,32.3,132049000000,5252000000,4775000000,3403000000,177.82,6.98,2.26
1807,2024/03,35132383000,21140626000,18356689000,15940174000,-,-,3387.37,60,38400251000,1650957000,1764662000,1202609000,195.52,5.71,3.42
1808,2024/03,1351231000000,511246000000,489347000000,461707000000,-,285000000000,1874.17,37.8,1094421000000,85747000000,83334000000,56038000000,205.45,10.96,4.15
1810,2024/03,77564000000,47619000000,40626000000,37440000000,5000000000,-,1642.31,61.4,96969000000,264000000,767000000,1161000000,39.82,2.44,1.5
1811,2024/03,203611000000,92929000000,58127000000,54427000000,18550000000,14800000000,12975.48,45.6,120977000000,3321000000,4986000000,2737000000,382.16,2.95,1.34
1812,2024/03,3135149000000,1223655000000,949642000000,891884000000,324318000000,208273000000,2514.97,38.6,2665175000000,136226000000,150112000000,115033000000,238.76,9.51,3.67
1813,2024/03,55247000000,33269000000,32292000000,14151000000,4509000000,50000000,2156.16,59.4,67947000000,2656000000,2947000000,2009000000,131.98,6.12,3.64
1814,2024/03,59107000000,22551000000,21295000000,17095000000,1300000000,3004000000,2190.76,38.2,77815000000,1590000000,1602000000,1235000000,119.18,5.48,2.09
1815,2024/03,211271000000,72131000000,55854000000,34102000000,24918000000,9336000000,4853.66,34,183586000000,958000000,2278000000,4260000000,282.03,5.93,2.02
1820,2024/03,579624000000,176856000000,150320000000,163358000000,49929000000,25221000000,4277.03,29.1,401633000000,18827000000,19578000000,12388000000,313.84,7.34,2.14
1821,2024/03,411601000000,77165000000,67626000000,58701000000,21221000000,48995000000,445.32,17,479488000000,8500000000,6291000000,4006000000,25.58,5.74,0.97
1822,2024/03,165081000000,68919000000,65028000000,14698000000,6950000000,6000000000,3838.78,40.9,163222000000,466000000,1259000000,-2072000000,-117.69,-,-
1826,2024/03,26297000000,15245000000,14407000000,10568000000,282000000,278000000,995.21,58,26083000000,200000000,210000000,75000000,4.9,0.49,0.29
1827,2024/03,80616000000,42159000000,36826000000,30400000000,618000000,204000000,1183.04,50.4,107415000000,3185000000,3835000000,2645000000,76.96,6.51,3.28
1828,2024/03,46239329000,22633568000,21993481000,19943281000,4500000000,475000000,2161.55,48.9,51842358000,2677458000,2726059000,1895963000,179.71,8.38,4.1
1832,2024/03,46787000000,30058000000,28479000000,21721000000,-,-,1450.78,64.2,60099000000,2856000000,3036000000,2019000000,97.45,6.72,4.32
1833,2024/03,384750000000,191573000000,148673000000,107684000000,16701000000,5108000000,5123.57,49,288146000000,13708000000,14878000000,12493000000,339.3,6.62,3.25
1835,2024/03,168117929000,111483492000,105011321000,102929517000,10000000000,-,3207.7,65.7,141845886000,11751172000,12106057000,8296515000,241,7.51,4.93
1840,2024/10,27190000000,12926000000,12854799000,1469446000,-,3000000000,517.13,47.5,33278000000,152000000,186000000,758488000,30.34,5.87,2.79
1841,2024/03,14726000000,11242303000,10994830000,11030883000,200000000,113110000,3473.61,76.3,11546000000,524943000,565000000,371000000,106.43,3.3,2.52
1844,2024/07,11931283000,5617805000,5539527000,1453171000,686883000,3313354000,296.95,46.4,5981732000,621857000,595277000,414329000,22.72,7.48,3.47
1847,2024/03,63920000000,30080000000,29324000000,24807000000,3646000000,1972000000,4140.56,47,96373000000,4100000000,4020000000,2938000000,404.72,9.77,4.6
1848,2024/03,33669000000,10407000000,10110000000,6318000000,7055000000,1912000000,585.26,30.9,28566000000,564000000,550000000,415000000,23.36,3.99,1.23
184A,2024/04,452334000,289461000,289461000,59216000,-,37845000,139.96,64,628721000,146338000,142071000,118401000,57.25,40.9,26.18
1850,2024/03,30335000000,15773000000,15253000000,11553000000,1848000000,80000000,547.15,52,43626000000,1686000000,1625000000,1100000000,38.16,6.97,3.63
1852,2024/03,101251000000,48705000000,44251000000,32499000000,6460000000,2258000000,590.22,47,152676000000,4057000000,4306000000,4670000000,57.95,9.81,4.61
1853,2024/03,27393000000,14361000000,14228000000,12391000000,800000000,-,438.48,52.4,27582000000,1072000000,1033000000,685000000,20.92,4.77,2.5
1860,2024/03,872060000000,355524000000,246037000000,208849000000,74103000000,89272000000,1144.63,40,522434000000,17908000000,25483000000,16101000000,52.19,4.62,1.85
1861,2024/03,467232000000,180014000000,164737000000,120115000000,10906000000,26474000000,4185.51,38.5,443193000000,12649000000,13040000000,8316000000,192.35,4.62,1.78
1866,2024/03,77829000000,43693000000,38175000000,29060000000,-,-,7524.55,55.4,84964000000,4804000000,5073000000,3902000000,673.52,9.05,5.01
1867,2024/03,50300277000,27295855000,26583926000,16230401000,2110872000,262760000,4191.95,54.2,55910452000,2595468000,2654568000,1877349000,289.14,6.89,3.73
1869,2024/03,104037000000,71640000000,59267000000,56799000000,968000000,2832000000,2827.71,68.6,86218000000,5370000000,5820000000,4028000000,159.57,5.64,3.87
186A,2024/04,24990809000,5401357000,5401357000,-679294000,2487960000,7375050000,59.45,21.6,2852561000,-11555724000,-,-9181329000,-101.45,-,-
1870,2024/03,126000000000,66538000000,69192000000,56015000000,14100000000,8300000000,1546.4,52.8,119824000000,9514000000,9588000000,6462000000,150.22,9.71,5.13
1871,2024/03,122118000000,52170000000,47974000000,36137000000,10818000000,9060000000,1118.51,42.7,129294000000,7827000000,7743000000,5054000000,108.54,9.69,4.14
1873,2024/04,43222000000,21251000000,20814000000,16921000000,3827000000,4251000000,522.4,48.3,12890000000,-1274000000,-1455000000,-1244000000,-31.1,-,-
1878,2024/03,1080069000000,405800000000,396371000000,391255000000,-,57176000000,6162.22,37.6,1731467000000,104819000000,108720000000,74685000000,1110.58,18.55,6.91
1879,2024/03,168154000000,113095000000,112644000000,106113000000,-,-,1933.59,67.3,133517000000,17577000000,17671000000,12286000000,210.05,10.86,7.31
1882,2024/03,92895000000,56075000000,50893000000,38670000000,600000000,900000000,1162.66,58.8,118060000000,5473000000,5707000000,3793000000,79.93,6.94,4.08
1884,2024/03,149926000000,100214000000,99693000000,72884000000,1000000000,8700000000,2276.82,66.7,160519000000,7833000000,7994000000,5053000000,114.99,5.05,3.37
1885,2024/03,272936000000,96700000000,84395000000,55294000000,29896000000,9806000000,1206.26,35,283852000000,17231000000,16630000000,10517000000,127.73,11,3.85
1887,2024/05,145677000000,68591000000,66873000000,48059000000,7186000000,21227000000,819.47,47,135701000000,-9404000000,-9343000000,-7191000000,-86.22,-,-
1888,2024/03,90775000000,47384000000,42037000000,28044000000,2937000000,1410000000,3600.55,50.6,94917000000,6976000000,7699000000,5092000000,399.19,11.09,5.61
1890,2024/03,164160000000,80800000000,73002000000,53367000000,6534000000,1615000000,831.98,47.6,186781000000,10887000000,10057000000,7016000000,74.5,8.98,4.27
1892,2024/03,49827000000,19110000000,18283000000,13001000000,1336000000,1319000000,9213.19,38.2,63691000000,1616000000,1717000000,1163000000,555.31,6.1,2.33
1893,2024/03,566028000000,173064000000,157011000000,108948000000,43705000000,25611000000,607.35,30.6,617708000000,29152000000,27221000000,17875000000,62.72,10.33,3.16
