Code,target_close,Stock Price,EPS,ROE,ROA,BPS,PER,PBR,Market Capitalization,Outstanding Shares,CloseMean,CloseMax,CloseMin,CloseChangeMean,VolumeSum,NikkeiCorr,MothersCorr,RSI,MovingAverage50,MovingAverage200,ATR,GapMean,CandleSizeMean,High-LowRangeMean,MACD,Signal,UpperBand,LowerBand,PercentR,ADX,ChangeRate_0,ChangeRate_3,ChangeRate_7,ChangeRate_14,ChangeRate_21,ChangeRate_28,ChangeRate_35,ChangeRate_42,ChangeRate_49
9927,578.030456543,558.5489532809,30.21,10.26,6.09,293.03,18.48887630853691,1.9061152553694165,5068545357.207049,9074487.253864793,462.36451167353704,606.7775268555,326.6715393066,0.4517571296039799,1296400.0,0.25115522551279124,0.1408428111563938,44.364155572823236,567.6149554443381,462.36451167353704,457.3093928829345,0.8847169420111934,0.8746436822222227,14.474738665711858,2.684616582057629,5.60868172672886,611.4520660166777,550.4770050282623,75.32467116967183,21.520534838797907,578.030456543:3.370324702025582,583.7323608398:0.9864366543764981,583.0195922852:0.8631267930133472,590.8597412109:2.2194824723644286,582.7819824219:0.8220199861642633,593.9482421875:2.7537970472522764,591.3348999023:2.3016855268958034,567.8145141602:-1.7673709520252632,564.4884033203:-2.342792333762195
7352,356.0689086914,354.5707225398,3.23,18.39,5.36,17.49,109.77421750458204,20.27276858432247,14851080172.437023,41884676.95826187,268.6007796676067,376.044708252,217.9250640869,0.38328386534512854,4060800.0,0.1610991789014043,0.18764513618180348,73.45133700502335,302.004372253418,268.6007796676067,267.82675449859164,1.8167954888768645,-0.9201411447511099,10.081943590280744,16.679569876205107,13.914962081154385,377.0157307410188,272.7975566124913,41.279081762277464,39.24047898617711,356.0689086914:0.42075736326039825,384.0350341797:7.854132951702858,382.0375061035:7.293138147764151,565.315612793:58.7657891475583,489.4075012207:37.447412361651246,451.4534301758:26.788219683361476,439.9673461914:23.56241599648163,447.9576721191:25.8064552070562,431.9770202637:21.31837678590706
3498,5134.2626953125,5114.5534335263,132.85,11.07,3.35,1142.7,38.49870857001355,4.4758496836670165,41259407353.62012,8067059.595694408,3038.9603795934627,5325.1782226562,1858.6246337891,0.8158265912635182,37046100.0,0.2997339043048044,0.43014993113143496,70.61994189554511,4184.040595703128,3038.9603795934627,2965.056742515396,10.401420546631332,13.531262179480752,158.24498620281182,258.70863833737076,217.37588754489423,5230.548256326503,4056.1506694547465,29.629624167079733,19.065056090470865,5134.2626953125:0.3838771593084665,5006.1528320312:-2.495194945873383,4897.7514648438:-4.6065276458220765,5035.716796875:-1.9193778013631992,4138.9453125:-19.385789973723178,4370.5288085938:-14.875239777192876,4311.4008789062:-16.026874066213242,3961.5615234375:-22.840692840778434,4217.7822265625:-17.850283928532367
9248,2001.4063720703,2014.3425166728,261.95,11.82,6.97,2242.22,7.689797734960107,0.8983697035405982,17616131516.727592,8745350.59004023,2295.9344572844275,2543.2561035156,1888.1610107422,0.05248212357352103,2290400.0,0.36465297249246476,0.2301513617325639,28.197637635911263,2349.925622558592,2295.9344572844275,2321.116430517103,-1.489902342400749,1.301831640620744,57.670765902177045,-124.15544552817664,-88.65227790265413,2800.7906900845032,1752.9108357944074,77.15877871579562,45.978470172875824,2001.4063720703:-0.6463527239157617,1924.7135009766:-3.831948981673679,1798.1240234375:-10.156975188528062,1739.9113769531:-13.065562234954998,1623.4860839844:-18.88273632780387,1464.5562744141:-26.823642871730748,1312.0946044922:-34.44136968870846,1349.0550537109:-32.594645818209976,1289.9184570312:-35.54939791178544
3452,504.8359985352,504.8359985352,53.64,9.01,1.95,542.56,9.411558511096198,0.9304703600250664,9847167820.145279,19505676.79150693,465.2474853515644,517.0638427734,419.2409973145,0.14739023052107644,8271300.0,0.46471352739935684,0.30483388235283304,68.42108812048998,481.498245239258,465.2474853515644,466.6917408497625,0.899490665670898,-0.32995819550296546,9.148251944391852,3.2455832421230184,2.5839107522470006,498.4449946090597,477.1636418655503,9.677428488952517,10.538953497128267,504.8359985352:0.0,498.7220458984:-1.2110769942198836,496.1018066406:-1.730104810263651,523.1777954102:3.6332188925154685,494.3549499512:-2.076129399331892,476.185333252:-5.675242131371563,478.9012145996:-5.137269135095504,480.7117919922:-4.778622485915678,489.7647705078:-2.9853711048993614
9973,21.0,20.0,-4.31,-90.46479541555644,-9.995799162542726,4.19,0.0,4.77326968973747,3269331742.243437,163466587.11217183,27.585185185185185,35.0,21.0,-0.12234657633945284,153345900.0,0.1031843981141091,0.15719784229968606,20.0,25.02,27.585185185185185,28.81058862947752,0.07462686567164178,-0.11851851851851852,1.614814814814815,-1.2468149718853638,-1.0925817699640528,25.813564212655205,20.086435787344794,75.0,97.14285714285714,21.0:4.761904761904762,19.0:-9.523809523809524,19.0:-9.523809523809524,18.0:-14.285714285714285,17.0:-19.047619047619047,19.0:-9.523809523809524,19.0:-9.523809523809524,18.0:-14.285714285714285,19.0:-9.523809523809524
3435,868.8451538086,866.0026941996,136.15,7.54,5.56,1806.23,6.3606514447271385,0.4794531672043981,6694553272.186119,7730406.980284902,869.5540206344014,934.2217407227,847.0529785156,-0.05298828365887657,352200.0,0.14614999908874535,0.004386518710334364,66.66671779238867,857.4753247070279,869.5540206344015,875.995745861637,0.7919288790820938,-1.1720759524518556,7.832555429306659,1.5880793343242203,0.38575791483368144,865.8998937031303,849.7139795878796,25.000044730707152,25.76148714973095,868.8451538086:0.32715376227168025,868.8451538086:0.0,871.6876220703:0.3271547581568448,869.7926635742:0.1090539276701448,867.897644043:-0.1090539276701448,859.3702392578:-1.0905182021521937,860.3177490234:-0.981464274482049,887.794921875:2.181029379439283,905.7971191406:4.252997806343318
4320,497.6038208008,509.9020140905,39.13,10.45,5.39,373.59,13.030974037579862,1.3648706177641265,7663116583.649547,15028606.226076717,440.98527492946886,515.578125,370.023651123,0.19483152854896207,7392100.0,0.4225585086319181,0.34778522674406886,79.66102806973352,454.80223999022803,440.98527492946886,442.49017012955613,1.1281812547723877,-0.410743948832592,9.36330736378667,14.510020732927842,9.248690491467734,511.92348367923717,431.63175924067275,12.500000477421375,28.57466680223621,497.6038208008:-2.471482889723068,496.6578063965:-0.19011397516553805,524.0922241211:5.32319130461496,551.5266723633:10.836502717306569,505.1719665527:1.5209179342153092,473.9534606934:-4.752849379118346,472.0614318848:-5.1330773294494225,480.5755615234:-3.4220515529796853,491.927734375:-1.1406838509932282
7860,1443.5736083984,1457.5707668509,20.75,1.59,0.94,1285.17,70.24437430606747,1.1341462739177697,62693337729.626465,43012208.50159901,1360.7742006655076,1593.8098144531,967.346496582,0.20670667892918176,36213400.0,0.26084794248342413,0.26492736872715883,35.32765146714928,1483.3350048828102,1360.7742006655074,1359.7448519599216,0.14280049570745904,1.8787789131888917,34.904142661179264,-14.41481257498367,-10.002527089264774,1598.0798133162439,1388.0740929337458,58.974322144900306,37.26041259836291,1443.5736083984:-0.9696186166793066,1430.5095214844:-0.9049823880123558,1506.0943603516:4.330970834425607,1480.8994140625:2.5856530936106426,1550.8851318359:7.4337410169585185,1538.7543945312:6.593414120281689,1551.8184814453:7.498396508300975,1609.6733398438:11.506149078860101,1655.3973388672:14.673566296616622
5334,2461.431640625,2467.8297176708,296.03,11.7,7.31,2530.01,8.336417652504139,0.9754229104512631,501676585034.56226,203286548.27451274,2366.668683991607,2636.6945800781,2046.6275634766,0.1415652179781636,171654500.0,0.5144850526309167,0.25716699807681037,46.00555206013841,2470.4385449218717,2366.6686839916065,2373.471264395272,4.359081888448481,-1.1235454514496033,45.17262916198965,-12.722354402526435,-18.07527247400718,2525.782215210159,2340.576793578911,38.16411686999939,15.619405268732859,2461.431640625:-0.2599331600440296,2408.4189453125:-2.1537342105116988,2329.8139648438:-5.347200125687016,2394.708984375:-2.7107255447914027,2268.5754394531:-7.835123185583594,2228.3586425781:-9.469001462405787,2242.0690917969:-8.91199029083741,2333.4699707031:-5.198668441972589,2382.8266601562:-3.193465915179382
5334,2461.431640625,2467.8297176708,296.03,11.7,7.31,2530.01,8.336417652504139,0.9754229104512631,501676585034.56226,203286548.27451274,2366.668683991607,2636.6945800781,2046.6275634766,0.1415652179781636,171654500.0,0.5144850526309167,0.25716699807681037,46.00555206013841,2470.4385449218717,2366.6686839916065,2373.471264395272,4.359081888448481,-1.1235454514496033,45.17262916198965,-12.722354402526435,-18.07527247400718,2525.782215210159,2340.576793578911,38.16411686999939,15.619405268732859,2461.431640625:-0.2599331600440296,2408.4189453125:-2.1537342105116988,2329.8139648438:-5.347200125687016,2394.708984375:-2.7107255447914027,2268.5754394531:-7.835123185583594,2228.3586425781:-9.469001462405787,2242.0690917969:-8.91199029083741,2333.4699707031:-5.198668441972589,2382.8266601562:-3.193465915179382
3350,490.0,490.0,-128.94,0.0,-5.631576611525483,-66.61,0.0,0.0,2305758594.8055844,4705629.78531752,523.4074074074074,660.0,420.0,0.05273346646836819,7312600.0,0.14266345294554122,0.312172655230793,50.0,511.2,523.4074074074074,545.7871250149027,2.08955223880597,-2.3703703703703702,32.888888888888886,-5.8367647092038055,-7.1259728130878175,502.8909164503245,462.1090835496755,66.66666666666667,40.95238095238095,490.0:0.0,540.0:10.204081632653061,520.0:6.122448979591836,510.0:4.081632653061225,470.0:-4.081632653061225,460.0:-6.122448979591836,410.0:-16.3265306122449,360.0:-26.53061224489796,340.0:-30.612244897959183
4837,564.0,555.0,102.54,35.96,12.33,285.16,5.412521942656524,1.9462757750035067,21607553654.08893,38932529.10646654,548.0147058823529,688.0,365.0,0.39940943402320794,81762500.0,0.08251756283543865,0.05834857403324775,46.76258992805756,568.52,548.0147058823529,553.7298935337539,-0.05185185185185185,1.4779411764705883,25.852941176470587,-1.104362479703127,-1.3096856442189768,588.3499706415967,539.0500293584034,48.07692307692308,17.026377191660753,564.0:1.5957446808510638,589.0:4.432624113475177,587.0:4.078014184397164,568.0:0.7092198581560284,523.0:-7.2695035460992905,590.0:4.609929078014184,609.0:7.9787234042553195,633.0:12.23404255319149,676.0:19.858156028368796
9446,503.9988098145,521.5051670109,51.45,14.8,2.28,347.5,10.136154849580175,1.5007342935565466,4841385339.090649,9283484.89208633,514.7404703776132,545.065246582,484.1968688965,-0.03217830945264946,355100.0,0.10870137037813173,0.024068182565488684,72.83949802666662,502.492713623058,514.7404703776133,518.99200240328,-0.4963467092171683,0.29894855000000425,5.781900873464445,3.3221570106460945,-0.38732420622589026,516.4118538879837,476.0090231872463,7.500005942786005,35.250455635368674,503.9988098145:-3.473491773292736,503.9988098145:0.0,506.763092041:0.5484699909345786,510.4485778809:1.2797189082200167,495.7064208984:-1.6453191465178467,490.1780700684:-2.7422167427710424,492.0208435059:-2.3765862290445825,499.3919677734:-0.9140581190649268,502.1561279297:-0.3656123484653121
9211,1231.25,1270.0,39.28,31.910520559655055,15.292205249513543,116.46,32.33197556008147,10.905031770565001,5204906233.900052,4098351.365275631,850.3888888888889,1400.0,675.0,0.6061328584456048,5348000.0,0.3460512025882955,0.3566367021783613,71.53392330383481,972.75,850.3888888888889,851.9246058571058,6.220149253731344,-1.8981481481481481,46.303703703703704,103.22410385034232,68.60074778653996,1382.0799734807592,730.1700265192409,28.571428571428573,58.12521546060285,1231.25:-3.1472081218274113,1250.0:1.5228426395939088,1162.0:-5.624365482233502,1257.5:2.131979695431472,1127.5:-8.426395939086294,1295.5:5.218274111675127,1099.5:-10.700507614213198,1042.5:-15.32994923857868,1007.0:-18.213197969543145
4593,293.0,287.0,-93.36,-56.83528186132655,-20.48308372616912,156.65,0.0,1.832109798914778,15827596552.824768,55148420.0446856,358.2148148148148,805.0,265.0,-0.6565869168198136,141248600.0,0.2917136367779199,0.4229883728068799,52.5,292.92,358.2148148148148,391.91740068573404,-2.3358208955223883,-1.4074074074074074,16.918518518518518,-4.967318863640912,-4.777430688877734,308.7508820598013,263.8491179401987,66.66666666666667,26.9210633047209,293.0:2.04778156996587,286.0:-2.3890784982935154,291.0:-0.6825938566552902,287.0:-2.04778156996587,255.0:-12.969283276450511,269.0:-8.19112627986348,277.0:-5.460750853242321,311.0:6.143344709897611,310.0:5.802047781569966
