コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2022/03,130460000000,42174000000,39072000000,32507000000,15714000000,27021000000,3969.6,32.7,253575000000,6392000000,6904000000,4634000000,430.76,10.85,3.55
130A,2022/12,1598576000,1542590000,1542590000,-141381000,-,-,280.4,96.5,178801000,-138909000,-138455000,-141381000,-25.7,-,-
1332,2022/03,505731000000,208598000000,172889000000,121472000000,83197000000,94939000000,609.82,37.5,693682000000,27076000000,32372000000,17275000000,55.51,9.1,3.42
1333,2022/03,548603000000,187895000000,153291000000,91611000000,138467000000,112136000000,3043.95,29.2,866702000000,23819000000,27596000000,16898000000,321.12,10.55,3.08
1352,2022/03,41116000000,8842000000,7804000000,4100000000,2300000000,17138000000,936.39,19.1,31065000000,1521000000,1487000000,1024000000,122.29,13.06,2.49
135A,2022/02,242285000,34933000,34933000,25033000,47220000,36803000,3.53,14.4,344466000,3360000,14553000,11193000,1.13,32.04,4.62
1375,2022/03,36096000000,10470000000,10471000000,16411000000,-,17314000000,262.62,29,47081000000,4975000000,-,2989000000,74.9,28.55,8.28
1376,2022/05,48932599000,22645781000,21611868000,18632298000,-,-,1956.51,46.3,60691766000,1835625000,1909002000,1302571000,111.83,5.75,2.66
1377,2022/05,147423000000,125466000000,120125000000,101225000000,937000000,553000000,2821.55,84.9,73049000000,11181000000,12114000000,12256000000,276.02,9.79,8.31
1379,2022/03,104933000000,54509000000,53798000000,45888000000,4951000000,17753000000,1726.2,51.9,70932000000,2014000000,3658000000,2530000000,80.25,4.64,2.41
137A,2022/05,240426000,141060000,141060000,-28258000,-,-,1037.02,58.7,557140000,69829000,70503000,48469000,356.33,34.36,20.16
1380,2022/03,5593521000,2035437000,1965752000,704041000,1213918000,1035199000,487.68,36.3,6638727000,115677000,237370000,159570000,38.27,7.85,2.85
1381,2022/06,21408000000,18772000000,18656000000,17777000000,-,-,3342.75,87.7,21725000000,2453000000,2669000000,1943000000,345.99,10.35,9.08
1382,2022/06,1081368000,719374000,719374000,187611000,-,12008000,944.38,66.5,2604674000,148024000,149666000,142243000,186.73,19.77,13.15
1383,2022/10,6074440000,1667454000,1628409000,675456000,917500000,1281492000,1131.74,26.7,6393813000,-58613000,-44041000,202341000,142.42,12.47,3.33
1384,2022/03,15549000000,10154000000,10017000000,8208000000,-,1597000000,1200.27,65.3,15359000000,878000000,942000000,1191000000,140.8,11.73,7.66
138A,2022/11,1870769000,162847000,162847000,142847000,-,1143015000,242.33,8.7,1684256000,49401000,133189000,62876000,93.57,38.61,3.36
1400,2022/12,2959029000,2392306000,2161140000,-896679000,2600000,78978000,173.12,76.1,2269970000,-11434000,18676000,-14070000,-1.08,-,-
1401,2022/05,3841348000,2983131000,2957556000,2217983000,-,-,390.87,77.7,4030131000,440385000,475515000,325964000,42.39,10.93,8.49
1407,2022/08,101418000000,27552000000,27550000000,28049000000,15031000000,43584000000,677.18,27.2,67169000000,7770000000,7293000000,4257000000,104.69,15.46,4.2
1414,2022/06,117423000000,94247000000,93410000000,59162000000,-,-,1768.4,80.2,81193000000,17267000000,17669000000,12366000000,231.05,13.13,10.53
1417,2022/03,435785000000,249237000000,236623000000,175815000000,50107000000,35000000,2446.53,55.6,470385000000,32804000000,34152000000,25163000000,250.84,10.39,5.77
1418,2022/02,7564203000,3917190000,3964589000,443479000,450000000,472810000,201.49,51.8,11794387000,45263000,48548000,71662000,3.7,1.83,0.95
1419,2022/05,105077000000,30916000000,30812000000,22672000000,11401000000,5063000000,1053.5,29.4,240760000000,11893000000,12346000000,8283000000,282.23,26.83,7.88
141A,2022/06,185730000000,59707000000,57192000000,53693000000,-,19638000000,593.29,31.2,595500000000,12046000000,12687000000,7135000000,73.04,12.31,3.84
1420,2022/03,46886890000,15048053000,15062009000,6575630000,6470000000,10071000000,1358.62,32.1,51123408000,548782000,545599000,326306000,29.49,2.17,0.7
1429,2022/12,21969963000,7966564000,7966543000,6270636000,6000000000,-,254.42,36.3,25670205000,2329177000,2359918000,1549154000,47.99,19.45,7.05
142A,2022/03,1455428000,-55507000,-55507000,-245507000,200000000,452850000,-23.52,-3.8,972741000,-91535000,-93823000,-65847000,-27.9,-,-
1430,2022/05,17811349000,6929957000,6926647000,6580224000,-,2845999000,585,38.9,30178557000,1919030000,1891210000,1269124000,105.76,18.32,7.13
1431,2022/06,7620581000,3400502000,3400502000,1996801000,1123050000,268500000,152.89,44.6,13761128000,666438000,706580000,444581000,19.85,13.07,5.83
1433,2022/01,8953212000,4278461000,4385286000,3232417000,-,2126694000,493.97,47.6,5966882000,488751000,721265000,1391770000,165.48,32.68,15.54
1434,2022/08,13466618000,4765976000,4313835000,2381094000,1430566000,2771877000,657.16,32.8,10381039000,775984000,726755000,512710000,76.66,11.6,3.81
1435,2022/12,10753662000,7895443000,7859146000,688663000,252900000,265722000,87.64,73.3,5421170000,645413000,664943000,719433000,8,9.13,6.69
1436,2022/04,10715733000,4472196000,4467843000,2713018000,1169880000,2001379000,1096.45,41.7,7186591000,478463000,486427000,282421000,68.04,6.32,2.64
1438,2022/09,4477861000,3268142000,3256644000,2522755000,200000000,18344000,1019.75,72.9,4851854000,383876000,369958000,247071000,77.13,7.56,5.52
1439,2022/12,4243116000,1627759000,1570668000,1095916000,-,876083000,1197.37,37,7046602000,226809000,232098000,135160000,103.63,8.61,3.19
143A,2022/03,1332147000,945701000,471082000,463082000,-,-,296.75,35.6,1024213000,71458000,116692000,97271000,60.79,20.49,7.3
1443,2022/03,15975838000,9884511000,9362432000,6769180000,-,2622420000,608.8,61.9,8179512000,982942000,1033815000,466682000,28.74,4.72,2.92
1444,2022/07,1690479000,1346814000,1346814000,813746000,-,-,1284.36,79.7,3504776000,220185000,207531000,136970000,146.97,10.17,8.1
1446,2022/09,6480398000,2516850000,2516850000,467596000,658335000,1159180000,274.64,38.8,11268815000,337292000,303700000,105540000,11.23,4.19,1.63
1447,2022/03,18098268000,2199258000,1852610000,-2209724000,6856950000,3345376000,81.9,10.1,26346996000,238703000,157244000,-766064000,-35.59,-,-
1449,2022/12,816629000,333004000,333004000,247156000,50000000,232480000,156.34,40.8,1551744000,-27818000,-24113000,-17868000,-8.39,-,-
1450,2022/03,7050397000,5439234000,5397187000,4851491000,-,-,625.27,77.1,9824388000,1418169000,1434676000,967393000,111.21,17.79,13.72
1451,2022/03,14898441000,5920588000,5920435000,4487688000,-,3630161000,1494.6,39.7,11888106000,562644000,521539000,340650000,86.12,5.75,2.29
145A,2022/12,1279446000,590176000,590176000,-983493000,30000000,495396000,142.03,46.1,970589000,-263996000,-265874000,-316494000,-76.17,-,-
146A,2022/12,26983000000,5798000000,5798000000,5692000000,2631000000,14212000000,2319.2,21.5,11013000000,2190000000,1854000000,1174000000,469.6,20.25,4.35
147A,2022/03,5634577000,3841035000,3673454000,-54099000,-,-,32.42,66.4,5450617000,501078000,465746000,337153000,2.92,9.01,5.98
148A,2022/12,1748655000,173651000,173651000,-1034220000,100000000,307226000,101.68,9.9,1647992000,-389768000,-394634000,-371891000,-217.75,-,-
1491,2022/03,9833373000,7067230000,7067230000,899692000,700000000,106129000,24.52,71.9,51590216000,586700000,509019000,546852000,1.89,7.74,5.56
149A,2022/12,399776000,283035000,283035000,-228589000,-,30213000,105.13,70.8,768268000,-150966000,-150836000,-136124000,-50.56,-,-
150A,2022/03,1570515000,663230000,663230000,-765419000,320000000,190402000,30764.91,42.2,2330183000,89364000,82701000,60801000,2820.35,9.17,3.87
1514,2022/03,21576000000,17354000000,17107000000,14139000000,1700000000,-,315.34,80.4,12405000000,2343000000,2356000000,2268000000,41.28,13.07,10.51
