Code,target_close,Stock Price,Market Capitalization,CloseMean,CloseMax,CloseMin,CloseChangeMean,VolumeSum,NikkeiCorr,MothersCorr,RSI,MovingAverage50,MovingAverage200,ATR,GapMean,CandleSizeMean,High-LowRangeMean,MACD,Signal,UpperBand,LowerBand,PercentR,ADX,ChangeRate_0,ChangeRate_3,ChangeRate_7,ChangeRate_14,ChangeRate_21,ChangeRate_28,ChangeRate_35,ChangeRate_42,ChangeRate_49
2391,1136.4135742188,1134.5732283496,6665931470.793404,1124.5474618417254,1220.2740478516,1070.1612548828,-0.047730471151914464,565000.0,0.06259466932757857,0.1471972429878706,84.61536499128377,1096.84615966796,1124.5474618417252,1133.2718241558096,1.5662519933455161,-2.1369038159644385,8.84417314141702,6.443068986670369,4.132901452852232,1125.0760126323046,1082.0508306294053,0.0,47.099243801977615,1136.4135742188:0.16194331983980084,1113.4091796875:-2.024297760356641,1112.4892578125:-2.1052473280025903,1112.4892578125:-2.1052473280025903,1105.1278076172:-2.753026478331769,1129.0522460938:-0.6477684086148272,1126.2917480469:-0.8906815618475884,1138.3657226562:0.1717815134988961,1150.5357666016:1.2426983189203766
5380,1133.0578613281,1121.1559930369,786853661.4275995,1277.9366699218756,2975.4672851562,915.4829711914,0.32733270640519235,4908800.0,0.030336753441653885,-0.03070771318444821,51.67243071169016,1254.866372070306,1277.9366699218756,1313.144651523366,9.301589627366425,-7.6245495862896355,82.34494449515628,-35.641327285409716,-53.32961856205321,1189.6078363293918,1034.8514043932682,52.21583831771708,34.39393101807162,1133.0578613281:1.0504201680617844,1942.3848876953:71.42856988949859,1694.8260498047:49.57983238544678,1613.8934326172:42.43698293796704,1561.5251464844:37.81512840430561,1427.2720947266:25.96639090025291,1375.8559570312:21.428569889494185,1390.1383056641:22.689083506703383,1431.0806884766:26.302524991899016
6815,4090.0,4090.0,31443451222.88943,3925.375,4150.0,2759.0,0.14776278145774643,10166900.0,0.07923604249151416,0.18930922153182275,60.0,4090.3,3925.375,3908.9770142439265,2.3555555555555556,2.110294117647059,40.93382352941177,0.3477858667752116,-0.2135475729758102,4094.3824720163498,4080.6175279836502,50.0,36.19047619047619,4090.0:0.0,4090.0:0.0,4090.0:0.0,4090.0:0.0,4090.0:0.0,4090.0:0.0,4090.0:0.0,4090.0:0.0,4090.0:0.0
8836,21.0,22.0,2111834040.5469117,20.548148148148147,24.0,19.0,0.09454994781508629,15643700.0,0.26374452686959665,0.19711550043033868,71.42857142857143,20.06,20.548148148148147,21.226455026455024,0.029850746268656716,-0.022222222222222223,1.2222222222222223,0.17904320642046656,0.06295354821659205,21.491640786499865,18.808359213500133,25.0,23.80952380952381,21.0:-4.761904761904762,22.0:4.761904761904762,21.0:0.0,21.0:0.0,21.0:0.0,21.0:0.0,21.0:0.0,21.0:0.0,20.0:-4.761904761904762
5214,2287.3354492188,2317.9412757726,207188519930.36392,2346.3121455439805,2536.9948730469,2209.0205078125,-0.015022177704580683,81911500.0,0.6213862990643654,0.45746143945070483,72.72733171296088,2296.319096679684,2346.3121455439805,2366.5519884088308,-1.2795741984768598,0.8784226393222154,34.65883115355555,5.931060425031774,0.3033061555149259,2353.2288382073143,2208.3894967536257,29.012168226075207,23.530742048483518,2287.3354492188:-1.3380558835064107,2287.3354492188:0.0,2234.2255859375:-2.3219096831397765,2257.6296386719:-1.298708090981824,2191.9172363281:-4.171588077441307,2204.0754394531:-3.640043693378514,2182.8471679688:-4.568122322665273,2208.6901855469:-3.43829164623667,2187.4619140625:-4.366370275527802
9048,2217.7507324219,2232.4183959961,323257637734.11127,2118.8292200159135,2283.2663574219,1967.4227294922,0.02677715592826055,87849600.0,0.30035547478125457,0.21377963246377113,52.51259339183243,2176.427153320314,2118.829220015914,2142.645150709851,1.8389334215813478,-1.2748193422725982,44.19856182656444,-0.08143308360104129,-9.478899728936796,2266.1309220870885,2055.8430769363717,5.142848640454645,28.530062626841207,2217.7507324219:-0.6613756613748132,2162.9914550781:-2.469135802471363,2125.8334960938:-4.144615307046773,2183.5263671875:-1.5432016201850247,2185.4819335938:-1.4550237029055457,2072.0520019531:-6.569662150880652,2050.5395507812:-7.5396742833265415,2078.8969726562:-6.261017423453377,2060.3178710938:-7.098762679977792
3927,707.0,688.0,3668584369.2691865,738.0814814814814,865.0,619.0,0.11863215200381552,7435000.0,0.2955000660169055,0.5158323975113492,55.73770491803278,691.4,738.0814814814814,752.7410182410183,-0.6567164179104478,0.837037037037037,31.007407407407406,-4.223128026797212,-5.158369757215894,701.2488999958517,663.4511000041483,50.0,27.745519375195364,707.0:2.6874115983026874,715.0:1.1315417256011315,719.0:1.6973125884016973,678.0:-4.101838755304102,652.0:-7.779349363507778,652.0:-7.779349363507778,653.0:-7.637906647807638,657.0:-7.072135785007072,667.0:-5.657708628005658
4412,1115.0,1131.5,7423756278.026906,1133.7851851851851,1448.0,941.5,0.14699473884439956,21025400.0,0.31420941433882404,0.4605779752336983,60.72874493927125,1120.67,1133.7851851851851,1172.4806176642287,4.981343283582089,-4.385185185185185,65.3037037037037,7.493774683538049,-3.446593273204421,1173.8886992858156,1011.3113007141841,39.716312056737586,42.467320861673294,1115.0:-1.4798206278026906,1082.0:-2.9596412556053813,986.0:-11.569506726457398,997.0:-10.582959641255606,879.0:-21.16591928251121,881.0:-20.986547085201792,865.0:-22.421524663677133,864.0:-22.51121076233184,850.0:-23.766816143497756
9715,3075.7036132812,3075.7036132812,113579384252.6432,3338.94283854167,3789.4548339844,2845.6127929688,0.08047656629947773,14308300.0,0.43615767861815596,0.41187970272856717,69.47368766706289,3273.957407226574,3338.9428385416704,3364.1250965727204,3.6444485646238953,-2.0522081756637176,65.04456682231186,-46.26794824094986,-77.35812483459813,3291.462453437046,2803.1264869926645,31.66665750396175,42.70348058335225,3075.7036132812:0.0,3075.7036132812:0.0,2991.1804199219:-2.748092923983971,3052.2248535156:-0.7633622324406137,3066.3120117188:-0.30534806805981135,3005.267578125:-2.290078759606421,3089.7907714844:0.45801416438080234,3169.6181640625:3.0534330543348673,3108.5739746094:1.0687103005069305
2590,2266.7194824219,2308.109634088,77463116810.68092,2362.280452473958,2551.5812988281,2196.1130371094,-0.03323699928252864,9294600.0,0.4605004187931052,0.22937321504148372,88.333219131677,2279.769677734372,2362.280452473958,2388.2960223937207,-0.6650900631544852,-0.2055117036036959,34.04000443111631,7.467409455933193,-4.935358028279341,2317.249214865211,2167.008597634789,11.320735171005076,44.920855216459415,2266.7194824219:-1.825993555315285,2347.0654296875:3.5445915513000985,2364.1081542969:4.29645894122479,2376.2819824219:4.8335270795368475,2361.673828125:4.189064700747401,2235.068359375:-1.3963405393719932,2264.5261230469:-0.09676360008413931,2301.2878417969:1.5250391432673034,2340.5002441406:3.254957761243052
